ID,Map_X,Map_Y,Map_Z,Width_m,Length_m,Height_Z
1,-3.04,2.21,1.15,0.17,0.24,0.13
8,-3.82,2.77,1.30,0.18,0.16,0.05
10,-3.97,0.39,1.48,0.87,0.87,0.56
13,-5.44,-1.91,1.40,0.80,0.75,0.64
21,-1.68,-3.47,1.34,0.07,0.09,0.03
33,-4.15,-2.63,0.97,0.24,0.21,0.25
92,-5.13,-5.91,1.41,0.13,0.12,0.06
93,-6.93,-3.25,1.31,1.16,1.06,0.49
97,-5.75,-5.91,1.45,0.06,0.11,0.03
109,-5.14,-4.80,1.05,0.40,0.30,0.24
110,-7.29,-5.35,1.29,0.13,0.11,0.07
115,-8.87,-4.41,1.41,0.55,0.35,0.32
129,-6.37,-1.42,1.22,0.37,0.32,0.21
