ID,Global_U,Global_V,Map_X,Map_Y,Width_m,Length_m
0,1325,677,-15.25,-21.15,0.13,0.14
1,1865,691,-10.33,-21.02,0.53,0.55
2,2199,698,-7.29,-20.96,0.25,0.22
3,1867,532,-10.31,-22.47,0.19,0.25
4,2064,1054,-8.52,-17.72,0.76,0.73
5,2138,689,-7.85,-21.04,0.24,0.23
6,2882,833,-1.07,-19.73,0.60,0.58
7,2705,553,-2.68,-22.28,0.19,0.18
8,2565,788,-3.96,-20.14,0.16,0.19
9,2037,1137,-8.77,-16.96,0.22,0.20
10,2035,706,-8.79,-20.89,0.27,0.22
11,2809,508,-1.73,-22.69,0.21,0.21
12,2038,859,-8.75,-19.49,0.21,0.19
13,1940,1162,-9.65,-16.73,0.23,0.20
14,1971,657,-9.37,-21.33,0.27,0.27
15,2074,513,-8.43,-22.64,0.24,0.25
16,2457,612,-4.94,-21.74,0.16,0.22
17,2069,743,-8.48,-20.55,0.20,0.19
18,2009,1154,-9.02,-16.81,0.21,0.18
19,2490,1488,-4.64,-13.76,0.15,0.14
20,2210,952,-7.19,-18.65,0.15,0.15
21,1929,486,-9.75,-22.89,0.20,0.21
22,2387,1094,-5.58,-17.35,0.11,0.11
23,2014,553,-8.97,-22.28,0.17,0.21
24,2173,982,-7.53,-18.37,0.13,0.12
25,1982,522,-9.27,-22.56,0.18,0.20
26,1976,702,-9.32,-20.92,0.22,0.15
27,2121,851,-8.00,-19.57,0.19,0.20
28,2884,651,-1.06,-21.38,0.13,0.15
29,2021,828,-8.91,-19.78,0.21,0.18
30,1897,509,-10.04,-22.68,0.26,0.28
31,1949,472,-9.56,-23.02,0.17,0.16
32,1958,510,-9.49,-22.67,0.16,0.20
33,1938,587,-9.67,-21.97,0.29,0.24
34,2600,1207,-3.64,-16.33,0.11,0.13
35,1932,844,-9.72,-19.63,0.18,0.15
36,1977,841,-9.31,-19.66,0.25,0.20
37,2060,945,-8.56,-18.71,0.20,0.22
38,1922,792,-9.81,-20.10,0.23,0.17
39,2031,528,-8.82,-22.51,0.29,0.31
40,1941,693,-9.64,-21.00,0.30,0.19
41,2917,472,-0.76,-23.01,0.13,0.10
42,2704,511,-2.70,-22.66,0.11,0.11
43,2060,812,-8.56,-19.92,0.25,0.25
44,2249,511,-6.84,-22.66,0.15,0.17
45,2130,484,-7.92,-22.90,0.21,0.21
46,1906,864,-9.96,-19.45,0.20,0.18
47,2532,790,-4.26,-20.12,0.14,0.13
48,1798,564,-10.94,-22.18,0.76,0.65
49,2118,898,-8.03,-19.13,0.21,0.21
50,2179,517,-7.48,-22.60,0.18,0.17
51,1970,475,-9.37,-22.99,0.21,0.24
52,2030,600,-8.83,-21.85,0.16,0.20
53,1670,963,-12.11,-18.54,0.14,0.14
54,1983,987,-9.26,-18.32,0.20,0.19
55,2129,507,-7.93,-22.69,0.20,0.19
56,1978,461,-9.30,-23.12,0.15,0.16
57,2158,708,-7.67,-20.87,0.18,0.20
58,1938,739,-9.66,-20.59,0.25,0.20
59,2017,761,-8.95,-20.38,0.21,0.21
60,2009,578,-9.02,-22.05,0.18,0.17
61,2158,893,-7.66,-19.18,0.19,0.18
62,3700,1105,6.37,-17.25,0.49,0.54
63,4049,1378,9.55,-14.76,0.18,0.17
64,3303,795,2.76,-20.07,0.18,0.17
65,3476,684,4.34,-21.08,0.19,0.21
66,4038,1219,9.46,-16.22,0.15,0.16
67,3268,992,2.44,-18.28,0.17,0.15
68,3513,891,4.68,-19.20,0.15,0.17
69,3406,612,3.70,-21.74,0.17,0.18
70,4267,1199,11.54,-16.40,0.19,0.18
71,3230,794,2.09,-20.08,0.20,0.19
72,3412,1096,3.76,-17.34,0.15,0.13
73,4186,1455,10.80,-14.07,0.15,0.15
74,3691,855,6.29,-19.53,0.16,0.18
75,4192,1195,10.86,-16.43,0.17,0.15
76,3372,902,3.39,-19.10,0.20,0.18
77,3371,902,3.38,-19.10,0.17,0.16
78,3482,1204,4.39,-16.35,0.12,0.11
79,3625,855,5.69,-19.53,0.09,0.11
80,797,1634,-20.05,-12.44,0.79,0.84
81,1122,2413,-17.09,-5.34,0.17,0.18
82,824,1748,-19.81,-11.40,0.47,0.49
83,907,2970,-19.05,-0.27,0.19,0.19
84,946,2483,-18.70,-4.71,0.20,0.18
85,758,2740,-20.41,-2.37,0.23,0.24
86,1228,2759,-16.13,-2.19,0.14,0.14
87,1014,2270,-18.08,-6.65,0.14,0.15
88,772,2635,-20.28,-3.32,0.23,0.22
89,760,2804,-20.39,-1.78,0.21,0.22
90,767,1935,-20.33,-9.69,0.36,0.32
91,1226,2551,-16.15,-4.08,0.15,0.17
92,742,1942,-20.55,-9.63,0.17,0.17
93,768,1971,-20.32,-9.36,0.23,0.19
94,1190,2447,-16.48,-5.04,0.12,0.13
95,1453,1767,-14.09,-11.22,0.86,1.28
96,819,2135,-19.86,-7.88,0.16,0.18
97,750,2005,-20.49,-9.06,0.22,0.20
98,672,2130,-21.19,-7.92,0.21,0.20
99,1223,2375,-16.17,-5.69,0.14,0.14
100,802,2773,-20.01,-2.06,0.24,0.23
101,800,2899,-20.03,-0.92,0.18,0.14
